Delay_s,ScheduleStartMission_s,FirstBurnMission_s,EntryMission_s,Miss_m,Status,EndpointLatitude_deg,EndpointLongitude_deg
57000,100676.731705844,100676.731705844,102843.603251397,5039412.00103131,SCREEN_ONLY,-3.23718288950582,107.242835530447
57600,101276.731705844,101276.731705844,103451.153255813,9204041.39675178,SCREEN_ONLY,-42.7822428323239,104.750751898641
58200,101876.731705844,101876.731705844,104033.426050191,12589455.3856395,SCREEN_ONLY,-75.1393180351911,102.899135196174
58800,102476.731705844,102476.731705844,104617.948633403,15857064.9229431,SCREEN_ONLY,-70.3513549184102,-80.1251767435463
59400,103076.731705844,103076.731705844,105226.928466264,16866406.4456632,SCREEN_ONLY,-29.4129756875192,-82.5691505842497
60000,103676.731705844,103676.731705844,105848.356512137,13210439.1759007,SCREEN_ONLY,14.6653931114836,-85.345231075402
60600,104276.731705844,104276.731705844,106448.673118332,9534244.43341316,SCREEN_ONLY,51.7495969309981,-87.6747892359379
61200,104876.731705844,104876.731705844,107028.483368305,6494294.58466495,SCREEN_ONLY,83.8492079035839,-88.9476513304224
61800,105476.731705844,105476.731705844,107618.415964572,4012073.80043837,SCREEN_ONLY,60.0594110835777,87.443895518032
62400,106076.731705844,106076.731705844,108233.15239442,4936666.12086764,SCREEN_ONLY,17.5890447714336,84.820398581565
63000,106676.731705844,106676.731705844,108851.267041774,8567344.92121724,SCREEN_ONLY,-25.5048986049645,82.1035136908885
63600,107276.731705844,107276.731705844,109443.545334072,11719116.9277783,SCREEN_ONLY,-60.2828414696981,79.9401996739503
64200,107876.731705844,107876.731705844,110022.891361415,14255752.7715435,SCREEN_ONLY,-87.2036364910578,-104.678481715288
64800,108476.731705844,108476.731705844,110619.502554114,15403150.4282505,SCREEN_ONLY,-49.3761785773965,-105.063899832151
65400,109076.731705844,109076.731705844,111239.044592748,13210064.7945325,SCREEN_ONLY,-5.72816947387954,-107.794055811871
66000,109676.731705844,109676.731705844,111852.370368454,9836750.10349023,SCREEN_ONLY,35.6113550279077,-110.400769945413
66600,110276.731705844,110276.731705844,112438.605726965,7242813.39173855,SCREEN_ONLY,68.74355601478,-112.404875785124
67200,110876.731705844,110876.731705844,113020.180510554,5498708.00142607,SCREEN_ONLY,77.7501033259813,64.5656786573428
67800,111476.731705844,111476.731705844,113623.677293515,5891380.69470101,SCREEN_ONLY,38.1363077890366,62.3739562971254
68400,112076.731705844,112076.731705844,114244.862231284,8740744.51978021,SCREEN_ONLY,-6.03187340562703,59.5969876903773
69000,112676.731705844,112676.731705844,114850.606532459,11680517.6534283,SCREEN_ONLY,-44.9806029039111,57.1435407861434
69600,113276.731705844,113276.731705844,115432.01008499,13614449.7461769,SCREEN_ONLY,-77.1994442405184,55.3606472574231
70200,113876.731705844,113876.731705844,116017.712863462,14226672.0997519,SCREEN_ONLY,-67.9325097833035,-127.718310760313
70800,114476.731705844,114476.731705844,116628.274370982,12520600.4325911,SCREEN_ONLY,-26.5963198402478,-130.21546753905
71400,115076.731705844,115076.731705844,117249.285800916,9442888.00385426,SCREEN_ONLY,17.3369265222469,-132.983358470794
72000,115676.731705844,115676.731705844,117847.715518858,7075492.32257861,SCREEN_ONLY,53.8365655946235,-135.272718783723
72600,116276.731705844,116276.731705844,118427.224704662,5994290.88805594,SCREEN_ONLY,85.9793867163155,-136.01692592027
73200,116876.731705844,116876.731705844,119018.646736441,6703403.17863899,SCREEN_ONLY,57.5218127895166,39.8251371843202
